epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.606,2.79191,3.81342,4.2777,0.00405,1,0.02388,0.00785,2.59875,3.19345,4.15898,0.0001,0.0001,0.0001
2,74.8507,2.64495,3.69028,4.23039,0.004,1,0.04978,0.01374,2.5923,3.18946,4.15781,0.00019822,0.00019822,0.00019822
3,104.205,2.59708,3.61257,4.15546,0.00414,1,0.07323,0.02142,2.58007,3.1845,4.15434,0.00027268,0.00027268,0.00027268
4,134.182,2.48107,3.47604,4.07314,0.00402,1,0.06538,0.01641,2.56658,3.17931,4.15035,0.00032338,0.00032338,0.00032338
5,163.235,2.45425,3.48443,4.03393,0.00411,1,0.63335,0.09892,2.55639,3.17062,4.14707,0.00035032,0.00035032,0.00035032
6,193.155,2.10732,3.34176,3.92722,0.00397,1,0.27322,0.05384,2.55144,3.16416,4.14618,0.0003535,0.0003535,0.0003535
7,222.296,2.11564,3.32029,3.8061,0.00394,1,0.65559,0.1078,2.52744,3.14741,4.13511,0.00033292,0.00033292,0.00033292
8,251.028,1.98958,3.20713,3.68255,0.00387,1,0.21255,0.04833,2.52203,3.13989,4.13767,0.00028858,0.00028858,0.00028858
9,279.593,1.92927,3.23515,3.64503,0.00391,1,0.23188,0.05654,2.52027,3.13001,4.14272,0.00022048,0.00022048,0.00022048
10,308.732,1.99546,3.28092,3.5469,0.00388,1,0.31149,0.078,2.50371,3.11231,4.13981,0.00012862,0.00012862,0.00012862
