epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,146.467,0.1091,0.97761,1,0.07019,0.0672619,0.000330688,0.000330688
2,289.687,0.05864,0.98632,1,0.05268,0.0342553,0.000657447,0.000657447
3,439.292,0.04847,0.98756,1,0.04246,0.00124216,0.000977607,0.000977607
4,583.528,0.06161,0.98632,1,0.05675,0.0009703,0.0009703,0.0009703
5,725.843,0.04338,0.99254,1,0.05664,0.0009604,0.0009604,0.0009604
6,867.641,0.0508,0.99254,1,0.031,0.0009505,0.0009505,0.0009505
7,1007.45,0.03796,0.99005,1,0.03261,0.0009406,0.0009406,0.0009406
8,1150.27,0.03251,0.99378,1,0.02818,0.0009307,0.0009307,0.0009307
9,1287.83,0.02948,0.99378,1,0.02326,0.0009208,0.0009208,0.0009208
10,1436.54,0.02401,0.99254,1,0.03484,0.0009109,0.0009109,0.0009109
11,1580.64,0.02771,0.99378,1,0.01584,0.000901,0.000901,0.000901
12,1724.7,0.02902,0.99129,1,0.02268,0.0008911,0.0008911,0.0008911
13,1877.15,0.02825,0.98383,1,0.03801,0.0008812,0.0008812,0.0008812
14,2029.89,0.03259,0.99751,1,0.01458,0.0008713,0.0008713,0.0008713
15,2181.69,0.02431,0.99378,1,0.0259,0.0008614,0.0008614,0.0008614
16,2317.57,0.01608,0.99378,1,0.02697,0.0008515,0.0008515,0.0008515
17,2461.96,0.01991,0.99254,1,0.03471,0.0008416,0.0008416,0.0008416
18,2602.97,0.02107,0.99254,1,0.02925,0.0008317,0.0008317,0.0008317
19,2739.02,0.02034,0.99254,1,0.02613,0.0008218,0.0008218,0.0008218
20,2878.76,0.02738,0.99502,1,0.01517,0.0008119,0.0008119,0.0008119
21,3018.72,0.01877,0.99502,1,0.0265,0.000802,0.000802,0.000802
22,3160.01,0.01389,0.99751,1,0.01619,0.0007921,0.0007921,0.0007921
23,3304.98,0.01695,0.99378,1,0.02061,0.0007822,0.0007822,0.0007822
24,3440.06,0.0234,0.99378,1,0.0247,0.0007723,0.0007723,0.0007723
25,3578.34,0.02168,0.99129,1,0.02944,0.0007624,0.0007624,0.0007624
26,3719.74,0.01418,0.99627,1,0.01552,0.0007525,0.0007525,0.0007525
27,3860.74,0.01361,0.98881,1,0.02752,0.0007426,0.0007426,0.0007426
28,4001.78,0.01123,0.99627,1,0.01561,0.0007327,0.0007327,0.0007327
29,4139.1,0.0115,0.99129,1,0.02882,0.0007228,0.0007228,0.0007228
