epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,323.506,0.74868,0.92002,1.31153,0.70864,0.73042,0.74403,0.48369,1.37125,1.20808,1.943,0.0671381,0.000331939,0.000331939
2,623.386,0.72793,0.70668,1.2911,0.80946,0.85622,0.85329,0.57632,1.27812,0.98123,1.98367,0.0341287,0.000655863,0.000655863
3,923.643,0.72604,0.6772,1.28878,0.78928,0.76931,0.81985,0.53544,1.44947,1.07808,2.14819,0.00110983,0.000970359,0.000970359
4,1223.12,0.71823,0.6679,1.28093,0.85173,0.77427,0.84214,0.57037,1.32873,0.98174,2.03618,0.000957571,0.000957571,0.000957571
5,1523.4,0.68078,0.64831,1.26083,0.84123,0.77279,0.84034,0.59033,1.30415,0.95717,2.02813,0.000943429,0.000943429,0.000943429
6,1822.2,0.66028,0.61426,1.23448,0.78632,0.75481,0.79171,0.57603,1.24353,0.95794,1.98694,0.000929286,0.000929286,0.000929286
7,2121.55,0.65768,0.59094,1.23536,0.87874,0.85583,0.88161,0.67377,1.11375,0.73505,1.8076,0.000915143,0.000915143,0.000915143
8,2438.89,0.63438,0.58175,1.21195,0.85088,0.79109,0.87083,0.63533,1.22521,0.85695,1.95745,0.000901,0.000901,0.000901
9,2749.28,0.62167,0.55366,1.21531,0.86553,0.82624,0.87645,0.65539,1.14202,0.76383,1.84465,0.000886857,0.000886857,0.000886857
10,3054.94,0.60969,0.55638,1.20559,0.87124,0.8344,0.88012,0.66619,1.15654,0.78656,1.88868,0.000872714,0.000872714,0.000872714
11,3358.28,0.61429,0.55589,1.19815,0.84775,0.84724,0.87524,0.67763,1.10639,0.74564,1.82188,0.000858571,0.000858571,0.000858571
12,3659.76,0.60276,0.53521,1.20011,0.83173,0.83312,0.86557,0.63548,1.15743,0.77762,1.9056,0.000844429,0.000844429,0.000844429
